"description","short_name","type"
"Population","pop15p","labourforce"
"Labour force","lbf","labourforce"
"Employment","employed","labourforce"
"Full-time employment","employed_full","labourforce"
"Part-time employment","employed_part","labourforce"
"Unemployment","unemployed","labourforce"
"Not in labour force","not_in_lbf","labourforce"
"Total employed, all industries","naics_employed","naics"
"Goods-producing sector","naics_goods","naics"
"Agriculture [111-112, 1100, 1151-1152]","naics_agriculture","naics"
"Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","naics_natural_resources","naics"
"Utilities [22]","naics_ultilities","naics"
"Construction [23]","naics_construction","naics"
"Manufacturing [31-33]","naics_manufacturing","naics"
"Services-producing sector","naics_services","naics"
"Wholesale and retail trade [41, 44-45]","naics_retail","naics"
"Transportation and warehousing [48-49]","naics_transport_warehousing","naics"
"Finance, insurance, real estate, rental and leasing [52-53]","naics_financial","naics"
"Professional, scientific and technical services [54]","naics_professional","naics"
"Business, building and other support services [55-56]","naics_support_services","naics"
"Educational services [61]","naics_education_services","naics"
"Health care and social assistance [62]","naics_health","naics"
"Information, culture and recreation [51, 71]","naics_infor_culture","naics"
"Accommodation and food services [72]","naics_accomdation_food","naics"
"Other services (except public administration) [81]","naics_other","naics"
"Public administration [91]","naics_public_admin","naics"
"Total employed, all occupations","nocs_employed","nocs"
"Management occupations [0]","nocs_management","nocs"
"Senior management occupations [00]","nocs_management_senior","nocs"
"Specialized middle management occupations [01-05]","nocs_management_specialized","nocs"
"Middle management occupations in retail and wholesale trade and customer services [06]","nocs_management_retail","nocs"
"Middle management occupations in trades, transportation, production and utilities [07-09]","nocs_management_trades","nocs"
"Business, finance and administration occupations [1]","nocs_business","nocs"
"Professional occupations in business and finance [11]","nocs_business_pro","nocs"
"Administrative and financial supervisors and administrative occupations [12]","nocs_business_admin","nocs"
"Finance, insurance and related business administrative occupations [13]","nocs_business_finance","nocs"
"Office support occupations [14]","nocs_business_office","nocs"
"Distribution, tracking and scheduling co-ordination occupations [15]","nocs_business_distribution","nocs"
"Natural and applied sciences and related occupations [2]","nocs_sciences","nocs"
"Professional occupations in natural and applied sciences [21]","nocs_sciences_pro","nocs"
"Technical occupations related to natural and applied sciences [22]","nocs_sciences_tech","nocs"
"Health occupations [3]","nocs_health","nocs"
"Professional occupations in nursing [30]","nocs_health_nursing","nocs"
"Professional occupations in health (except nursing) [31]","nocs_health_pro","nocs"
"Technical occupations in health [32]","nocs_health_tech","nocs"
"Assisting occupations in support of health services [34]","nocs_health_assist","nocs"
"Occupations in education, law and social, community and government services [4]","nocs_public","nocs"
"Professional occupations in education services [40]","nocs_public_education","nocs"
"Professional occupations in law and social, community and government services [41]","nocs_public_pro","nocs"
"Paraprofessional occupations in legal, social, community and education services [42]","nocs_public_para","nocs"
"Occupations in front-line public protection services [43]","nocs_public_protection","nocs"
"Care providers and educational, legal and public protection support occupations [44]","nocs_public_support","nocs"
"Occupations in art, culture, recreation and sport [5]","nocs_culture","nocs"
"Professional occupations in art and culture [51]","nocs_culture_pro","nocs"
"Technical occupations in art, culture, recreation and sport [52]","nocs_culture_tech","nocs"
"Sales and service occupations [6]","nocs_sales","nocs"
"Retail sales supervisors and specialized sales occupations [62]","nocs_sales_retail","nocs"
"Service supervisors and specialized service occupations [63]","nocs_sales_service","nocs"
"Sales representatives and salespersons - wholesale and retail trade [64]","nocs_sales_wholesale","nocs"
"Service representatives and other customer and personal services occupations [65]","nocs_sales_other","nocs"
"Sales support occupations [66]","nocs_sales_support","nocs"
"Service support and other service occupations, n.e.c. [67]","nocs_sales_nec","nocs"
"Trades, transport and equipment operators and related occupations [7]","nocs_trades","nocs"
"Industrial, electrical and construction trades [72]","nocs_trades_industrial","nocs"
"Maintenance and equipment operation trades [73]","nocs_trades_maintenance","nocs"
"Other installers, repairers and servicers and material handlers [74]","nocs_trades_other","nocs"
"Transport and heavy equipment operation and related maintenance occupations [75]","nocs_trades_heavy","nocs"
"Trades helpers, construction labourers and related occupations [76]","nocs_trades_helpers","nocs"
"Natural resources, agriculture and related production occupations [8]","nocs_agriculture","nocs"
"Supervisors and technical occupations in natural resources, agriculture and related production [82]","nocs_agriculture_supervisor","nocs"
"Workers in natural resources, agriculture and related production [84]","nocs_agriculture_workers","nocs"
"Harvesting, landscaping and natural resources labourers [86]","nocs_agriculture_harvesting","nocs"
"Occupations in manufacturing and utilities [9]","nocs_manufacturing","nocs"
"Processing, manufacturing and utilities supervisors and central control operators [92]","nocs_manufacturing_supervisor","nocs"
"Processing and manufacturing machine operators and related production workers [94]","nocs_manufacturing_operators","nocs"
"Assemblers in manufacturing [95]","nocs_manufacturing_assemblers","nocs"
"Labourers in processing, manufacturing and utilities [96]","nocs_manufacturing_labourers","nocs"
